policy,K,scenario_id,replication,capacity,mean_response_time,median_response_time,p90_response_time,p95_response_time,coverage_8min,coverage_10min,mean_utilization,max_utilization,mean_queue_length,max_queue_length,queue_fraction,total_incidents,incidents_queued,random_seed
P1,48,P1_K48,22,2,2.3056516937741494,2.1747971145651945,3.0270716314225865,3.499444600819288,1.0,1.0,0.03133165949856471,0.13958753859867923,0.0,0,0.0,572,0,64
P1,48,P1_K48,23,2,2.357059205564425,2.2309325535883318,3.0270716314225865,3.490028355271327,0.9982758620689656,0.9982758620689656,0.032155346933990546,0.1430773896485688,0.0,0,0.0,580,0,65
P1,48,P1_K48,24,2,2.2992548594797597,2.1750685830517114,2.980222953951426,3.3664208828490416,1.0,1.0,0.03183701333975726,0.13388118715978797,0.0,0,0.0,593,0,66
P1,48,P1_K48,25,2,2.319237063917288,2.2299247322193594,3.02707163142216,3.4105070982852936,0.9983221476510067,1.0,0.032182311991517616,0.1233551117297093,0.0,0,0.0,596,0,67
P1,48,P1_K48,26,2,2.3193695878020306,2.175068583051285,2.980222953951852,3.4994446008188778,0.998272884283247,1.0,0.031146137051030476,0.13296559439732347,0.0,0,0.0,579,0,68
P1,48,P1_K48,27,2,2.3092644418557104,2.1750685830517114,2.980222953951852,3.3717441809687037,1.0,1.0,0.02886297177053369,0.11539548012593025,0.0,0,0.0,555,0,69
P1,48,P1_K48,28,2,2.361842702752311,2.1775238837466304,3.166203834015704,3.4994446008192748,0.998220640569395,0.998220640569395,0.02987749082180098,0.12349541649478038,0.0,0,0.0,562,0,70
P1,48,P1_K48,29,2,2.357553708061928,2.2397948187351346,3.157943969500252,3.366420882849468,0.9982238010657194,0.9982238010657194,0.02948931181466251,0.1258287989584231,0.0,0,0.0,563,0,71
P2,48,P2_K48,0,2,2.4264122339071594,2.239586398893749,3.3664208828490416,3.642262072306721,0.9965397923875432,1.0,0.030563573983078768,0.12553712242647347,0.0,0,0.0,578,0,42
P2,48,P2_K48,1,2,2.4431096964053225,2.2071533850046876,3.228249420137134,3.73970505941843,0.9981308411214953,1.0,0.02866009912897059,0.11175764750899807,0.0,0,0.0,535,0,43
P2,48,P2_K48,2,2,2.3937872003821123,2.2309325535883318,3.166203834015704,3.499444600819203,0.9964601769911504,1.0,0.030779643325530088,0.12165397906294202,0.0,0,0.0,565,0,44
P2,48,P2_K48,3,2,2.4173213469293233,2.2299247322193594,3.1662038340158105,3.64226207230589,0.998330550918197,0.998330550918197,0.03214867256633683,0.17934149176608588,0.0,0,0.0,599,0,45
P2,48,P2_K48,4,2,2.3946646762157955,2.1747971145639156,3.2585541959193165,3.642262072306721,0.9948006932409013,0.9982668977469671,0.03053762441880614,0.13412960174610664,0.0,0,0.0,577,0,46
P2,48,P2_K48,5,2,2.3638046551708434,2.2071533850055403,3.1612479153064332,3.499444600819288,0.9981718464351006,1.0,0.028781288436602475,0.12224484141034882,0.0,0,0.0,547,0,47
P2,48,P2_K48,6,2,2.3542946527091146,2.1749328488078135,3.1662038340161303,3.6396071158542753,0.9981684981684982,1.0,0.02942696993907884,0.12454003399798046,0.0,0,0.0,546,0,48
P2,48,P2_K48,7,2,2.4062376415035875,2.1946785508444577,3.1662038340161303,3.6422620723063055,0.9965156794425087,0.9982578397212544,0.031754773369696225,0.12204892282976235,0.0,0,0.0,574,0,49
P2,48,P2_K48,8,2,2.4023415310569467,2.229924732218933,3.157943969500124,3.642262072306721,0.9947826086956522,0.9982608695652174,0.03134475884118911,0.15205178555097398,0.0,0,0.0,575,0,50
P2,48,P2_K48,9,2,2.417830840723508,2.230932553588758,3.166203834016983,3.642262072306721,0.9983361064891847,0.9983361064891847,0.032750902864518754,0.14837365433177008,0.0,0,0.0,601,0,51
P2,48,P2_K48,10,2,2.3689382399700647,2.230932553588758,3.1662038340158105,3.642262072306721,0.9983552631578947,1.0,0.03266598369761196,0.1386942599905052,0.0,0,0.0,608,0,52
P2,48,P2_K48,11,2,2.4770798352847887,2.2499467463217115,3.3519059311176984,3.739705059418803,0.9982964224872232,1.0,0.0320208010836828,0.11523479250727248,0.0,0,0.0,587,0,53
P2,48,P2_K48,12,2,2.4360171327412656,2.2071533850046876,3.348505336853321,3.8708911504555914,0.9981447124304267,1.0,0.02895251118335294,0.14218131529081215,0.0,0,0.0,539,0,54
