Experiment,Policy,Factor,Level,Metric,Mean,Std,CI_95_lo,CI_95_hi
exp3_demand_sensitivity,P1,demand_multiplier,0.5,Mean Utilization,0.0371,0.002,0.0364,0.0378
exp3_demand_sensitivity,P1,demand_multiplier,0.75,Mean RT (min),2.5699,0.0532,2.5508,2.5889
exp3_demand_sensitivity,P1,demand_multiplier,0.75,"P90 Response Time (90th percentile, min)",3.842,0.1902,3.7739,3.9101
exp3_demand_sensitivity,P1,demand_multiplier,0.75,6-min Coverage (NYC),0.9822,0.0062,0.98,0.9844
exp3_demand_sensitivity,P1,demand_multiplier,0.75,8-min Coverage (NFPA),0.9971,0.0027,0.9961,0.9981
exp3_demand_sensitivity,P1,demand_multiplier,0.75,Mean Utilization,0.0565,0.0024,0.0556,0.0574
exp3_demand_sensitivity,P1,demand_multiplier,1.0,Mean RT (min),2.6186,0.0519,2.6,2.6371
exp3_demand_sensitivity,P1,demand_multiplier,1.0,"P90 Response Time (90th percentile, min)",3.9882,0.1741,3.9259,4.0505
exp3_demand_sensitivity,P1,demand_multiplier,1.0,6-min Coverage (NYC),0.9801,0.0054,0.9781,0.982
exp3_demand_sensitivity,P1,demand_multiplier,1.0,8-min Coverage (NFPA),0.9964,0.0027,0.9955,0.9974
exp3_demand_sensitivity,P1,demand_multiplier,1.0,Mean Utilization,0.0745,0.003,0.0734,0.0755
exp3_demand_sensitivity,P1,demand_multiplier,1.25,Mean RT (min),2.6789,0.0394,2.6648,2.6931
exp3_demand_sensitivity,P1,demand_multiplier,1.25,"P90 Response Time (90th percentile, min)",4.1701,0.2215,4.0908,4.2494
exp3_demand_sensitivity,P1,demand_multiplier,1.25,6-min Coverage (NYC),0.974,0.007,0.9715,0.9765
exp3_demand_sensitivity,P1,demand_multiplier,1.25,8-min Coverage (NFPA),0.9947,0.0029,0.9937,0.9957
exp3_demand_sensitivity,P1,demand_multiplier,1.25,Mean Utilization,0.095,0.0046,0.0933,0.0966
exp3_demand_sensitivity,P1,demand_multiplier,1.5,Mean RT (min),2.7427,0.0491,2.7252,2.7603
exp3_demand_sensitivity,P1,demand_multiplier,1.5,"P90 Response Time (90th percentile, min)",4.4657,0.1903,4.3976,4.5338
exp3_demand_sensitivity,P1,demand_multiplier,1.5,6-min Coverage (NYC),0.9668,0.0053,0.9649,0.9687
exp3_demand_sensitivity,P1,demand_multiplier,1.5,8-min Coverage (NFPA),0.993,0.0028,0.992,0.994
exp3_demand_sensitivity,P1,demand_multiplier,1.5,Mean Utilization,0.1153,0.0035,0.1141,0.1166
exp3_demand_sensitivity,P1,demand_multiplier,2.0,Mean RT (min),2.8672,0.0477,2.8502,2.8843
exp3_demand_sensitivity,P1,demand_multiplier,2.0,"P90 Response Time (90th percentile, min)",4.913,0.1308,4.8662,4.9598
exp3_demand_sensitivity,P1,demand_multiplier,2.0,6-min Coverage (NYC),0.9566,0.0061,0.9544,0.9588
exp3_demand_sensitivity,P1,demand_multiplier,2.0,8-min Coverage (NFPA),0.9886,0.0032,0.9875,0.9897
exp3_demand_sensitivity,P1,demand_multiplier,2.0,Mean Utilization,0.1536,0.0052,0.1517,0.1555
exp3_demand_sensitivity,P2,demand_multiplier,0.5,Mean RT (min),2.4435,0.0592,2.4223,2.4647
exp3_demand_sensitivity,P2,demand_multiplier,0.5,"P90 Response Time (90th percentile, min)",3.4044,0.1611,3.3467,3.462
exp3_demand_sensitivity,P2,demand_multiplier,0.5,6-min Coverage (NYC),0.9915,0.005,0.9897,0.9933
exp3_demand_sensitivity,P2,demand_multiplier,0.5,8-min Coverage (NFPA),0.9983,0.0024,0.9974,0.9991
exp3_demand_sensitivity,P2,demand_multiplier,0.5,Mean Utilization,0.037,0.002,0.0363,0.0377
exp3_demand_sensitivity,P2,demand_multiplier,0.75,Mean RT (min),2.5113,0.0464,2.4947,2.5279
exp3_demand_sensitivity,P2,demand_multiplier,0.75,"P90 Response Time (90th percentile, min)",3.5827,0.1106,3.5431,3.6223
exp3_demand_sensitivity,P2,demand_multiplier,0.75,6-min Coverage (NYC),0.9844,0.0071,0.9818,0.9869
exp3_demand_sensitivity,P2,demand_multiplier,0.75,8-min Coverage (NFPA),0.9972,0.0025,0.9964,0.9981
exp3_demand_sensitivity,P2,demand_multiplier,0.75,Mean Utilization,0.0564,0.0024,0.0555,0.0572
exp3_demand_sensitivity,P2,demand_multiplier,1.0,Mean RT (min),2.5666,0.0528,2.5478,2.5855
exp3_demand_sensitivity,P2,demand_multiplier,1.0,"P90 Response Time (90th percentile, min)",3.7517,0.1224,3.7079,3.7955
exp3_demand_sensitivity,P2,demand_multiplier,1.0,6-min Coverage (NYC),0.9817,0.0054,0.9797,0.9836
exp3_demand_sensitivity,P2,demand_multiplier,1.0,8-min Coverage (NFPA),0.997,0.0022,0.9962,0.9978
exp3_demand_sensitivity,P2,demand_multiplier,1.0,Mean Utilization,0.0741,0.0031,0.073,0.0752
exp3_demand_sensitivity,P2,demand_multiplier,1.25,Mean RT (min),2.63,0.0354,2.6173,2.6427
exp3_demand_sensitivity,P2,demand_multiplier,1.25,"P90 Response Time (90th percentile, min)",3.9058,0.086,3.875,3.9365
exp3_demand_sensitivity,P2,demand_multiplier,1.25,6-min Coverage (NYC),0.9755,0.0055,0.9735,0.9775
exp3_demand_sensitivity,P2,demand_multiplier,1.25,8-min Coverage (NFPA),0.9956,0.0027,0.9946,0.9965
exp3_demand_sensitivity,P2,demand_multiplier,1.25,Mean Utilization,0.0948,0.0046,0.0931,0.0964
exp3_demand_sensitivity,P2,demand_multiplier,1.5,Mean RT (min),2.7078,0.0468,2.691,2.7246
exp3_demand_sensitivity,P2,demand_multiplier,1.5,"P90 Response Time (90th percentile, min)",4.2016,0.199,4.1304,4.2728
exp3_demand_sensitivity,P2,demand_multiplier,1.5,6-min Coverage (NYC),0.9681,0.0071,0.9656,0.9707
exp3_demand_sensitivity,P2,demand_multiplier,1.5,8-min Coverage (NFPA),0.9947,0.0023,0.9939,0.9955
exp3_demand_sensitivity,P2,demand_multiplier,1.5,Mean Utilization,0.115,0.0034,0.1137,0.1162
exp3_demand_sensitivity,P2,demand_multiplier,2.0,Mean RT (min),2.8436,0.054,2.8243,2.863
exp3_demand_sensitivity,P2,demand_multiplier,2.0,"P90 Response Time (90th percentile, min)",4.7526,0.1766,4.6894,4.8158
exp3_demand_sensitivity,P2,demand_multiplier,2.0,6-min Coverage (NYC),0.9567,0.0076,0.954,0.9595
exp3_demand_sensitivity,P2,demand_multiplier,2.0,8-min Coverage (NFPA),0.9912,0.0028,0.9902,0.9922
exp3_demand_sensitivity,P2,demand_multiplier,2.0,Mean Utilization,0.1535,0.0053,0.1516,0.1554
exp4_service_robustness,P0,service_time_mean,20.0,Mean RT (min),3.1391,0.0679,3.1148,3.1633
exp4_service_robustness,P0,service_time_mean,20.0,"P90 Response Time (90th percentile, min)",5.2622,0.3525,5.136,5.3883
exp4_service_robustness,P0,service_time_mean,20.0,6-min Coverage (NYC),0.9421,0.0111,0.9381,0.9461
exp4_service_robustness,P0,service_time_mean,20.0,8-min Coverage (NFPA),0.9974,0.0019,0.9967,0.9981
exp4_service_robustness,P0,service_time_mean,20.0,Mean Utilization,0.0615,0.0026,0.0606,0.0624
